date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:42	1053/1053	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Jan%202020%2016:01:37%20GMT	http://localhost:8080/robots.txt		(from )
00:01:42	125953/125953	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:01:37%20GMT	http://localhost:8080/wordpress/	C:/Users/sss/Desktop/hhh/wp/wordpress/index.html	(from )
00:01:42	41467/41467	---M--	200	added ('OK')	text/css	etag:%22a1fb-596a0a3682b00%22	http://localhost:8080/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	C:/Users/sss/Desktop/hhh/wp/wordpress/wp-includes/css/dist/block-library/style.min9dff.css	(from )
00:01:43	119130/119130	---M--	200	added ('OK')	text/css	etag:%221d15a-59985f2a2aa00%22	http://localhost:8080/wordpress/wp-content/themes/twentytwenty/style.css?ver=1.1	C:/Users/sss/Desktop/hhh/wp/wordpress/wp-content/themes/twentytwenty/style4963.css	(from )
00:01:43	733/733	---M--	200	added ('OK')	application/rss+xml	etag:%228a315609c697555d33c7fe6a88237841%22	http://localhost:8080/wordpress/?feed=comments-rss2	C:/Users/sss/Desktop/hhh/wp/wordpress/indexa6da.html	(from http://localhost:8080/wordpress/)
00:01:44	2574/2574	---M--	200	added ('OK')	text/css	etag:%22a0e-597187c1f7940%22	http://localhost:8080/wordpress/wp-content/themes/twentytwenty/print.css?ver=1.1	C:/Users/sss/Desktop/hhh/wp/wordpress/wp-content/themes/twentytwenty/print4963.css	(from )
00:01:45	866/866	---M--	200	added ('OK')	text/xml	date:Mon,%2013%20Jan%202020%2016:01:45%20GMT	http://localhost:8080/wordpress/xmlrpc.php?rsd	C:/Users/sss/Desktop/hhh/wp/wordpress/xmlrpc0db0.php	(from )
00:01:45	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost:8080/wordpress/wp-includes/wlwmanifest.xml	C:/Users/sss/Desktop/hhh/wp/wordpress/wp-includes/wlwmanifest.xml	(from )
00:01:46	5140/5140	---M--	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:01:45%20GMT	http://localhost:8080/wordpress/wp-login.php	C:/Users/sss/Desktop/hhh/wp/wordpress/wp-login.html	(from )
00:01:47	24427/24427	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Jan%202020%2016:01:46%20GMT	http://localhost:8080/wordpress/?page_id=2	C:/Users/sss/Desktop/hhh/wp/wordpress/indexba53.html	(from http://localhost:8080/wordpress/)
00:01:47	1399/1399	---M--	200	added ('OK')	application/javascript	etag:%22577-5942f1cbbd980%22	http://localhost:8080/wordpress/wp-includes/js/wp-embed.min.js?ver=5.3.2	C:/Users/sss/Desktop/hhh/wp/wordpress/wp-includes/js/wp-embed.min9dff.js	(from )
